0 - Sexe,1 - Tranche_age,2 - Statut,3 - Foyer,4 - Enfant,5 - Taille_ville,6 - Region,7 - Style_de_musique,8 - Moment_musique, 9 - Musique/jour, 10 - Musique fréquence, 11 - nb concert, 12 - appareil pour ecouter plus souvent de la musique,13 - musique seul,14 - Visionnage Illegal Musique,15 - musique accompagné,16 - Plateforme
FEMME,De 35 à 49 ans,Couple,2 personnes,Aucun,PlusDe100000Habitants,AuvergneRhoneAlpes,"Variété Française,Pop / Rock","Au réveil ou avant de vous endormir,Sous la douche ou en vous préparant,En faisant du sport ou des activités récréatives,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 1 et 2 heures / jour,Tous les jours ou presque,3 ou 4 concerts/festivals,NULL,Tous les jours ou presque,Uniquement de façon légale,1 à 5 fois par semaine,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
FEMME,De 35 à 49 ans,Couple,4 personnes ou plus,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,LanguedocRoussillonMidiP,"Metal,R&B,Musiques du monde,Pop / Rock,Rap / Hip-Hop","En travaillant ou en étudiant,En cuisinant ou pendant les tâches ménagères,En faisant du sport ou des activités récréatives,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 3 et 4 heures / jour,Plusieurs fois par jour,1 ou 2 concerts/festivals,Une enceinte ou une barre de son (connectées par un fil ou en Bluetooth),Plusieurs fois par jour,Uniquement de façon légale,1 à 5 fois par semaine,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)"
HOMME,De 35 à 49 ans,Couple,3 personnes,Présence d'enfant(s) au foyer,PlusDe100000Habitants,IleDeFrance,"Variété Française,Soul,Pop / Rock,Rap / Hip-Hop",En voiture,Entre 1 et 2 heures / jour,Tous les jours ou presque,1 ou 2 concerts/festivals,NULL,Plusieurs fois par jour,Généralement de façon légale même s’il peut m’arriver de le faire de manière illégale,Jamais,Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…)
HOMME,De 50 à 64 ans,Célibataire,1 personne,NULL,PlusDe100000Habitants,IleDeFrance,"Variété Française,Jazz,Musiques du monde,Classique","En travaillant ou en étudiant,En cuisinant ou pendant les tâches ménagères,Sous la douche ou en vous préparant,En voiture",Entre 1 et 2 heures / jour,Tous les jours ou presque,NULL,Une chaîne Hifi,Plusieurs fois par jour,NULL,Jamais,
HOMME,De 50 à 64 ans,Couple,4 personnes ou plus,Aucun,PlusDe100000Habitants,AuvergneRhoneAlpes,"Variété Française,Reggae",En travaillant ou en étudiant,NULL,1 à 5 fois par semaine,NULL,NULL,1 à 5 fois par semaine,Généralement de façon légale même s’il peut m’arriver de le faire de manière illégale,Plusieurs fois par jour,Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)
FEMME,De 35 à 49 ans,Couple,2 personnes,Aucun,PlusDe100000Habitants,NordPasDeCalaisPicardie,,,NULL,Jamais,NULL,NULL,NULL,NULL,NULL,
FEMME,De 25 à 34 ans,Couple,4 personnes ou plus,Présence d'enfant(s) au foyer,PlusDe100000Habitants,NordPasDeCalaisPicardie,"Variété Française,Rap / Hip-Hop",En travaillant ou en étudiant,Entre 1 et 2 heures / jour,Plusieurs fois par jour,5 concerts/festivals ou plus,NULL,Plusieurs fois par jour,Uniquement de façon légale,Plusieurs fois par jour,Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…)
FEMME,De 65 à plus,Couple,4 personnes ou plus,Aucun,PlusDe100000Habitants,AquitaineLimousinPoitouC,Variété Française,En voiture,Entre 1 et 2 heures / jour,Tous les jours ou presque,NULL,Un poste de radio / un radioréveil,Tous les jours ou presque,NULL,Jamais,
HOMME,De 65 à plus,Célibataire,1 personne,NULL,PlusDe100000Habitants,Bretagne,"Variété Française,Jazz,Soul,Classique",En travaillant ou en étudiant,NULL,1 à 3 fois par mois,NULL,Un ordinateur,1 à 3 fois par mois,Uniquement de façon légale,1 à 3 fois par mois,Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)
FEMME,De 35 à 49 ans,Couple,4 personnes ou plus,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,AuvergneRhoneAlpes,"Variété Française,R&B,Pop / Rock","En cuisinant ou pendant les tâches ménagères,Dans les transports ou sur le chemin des études ou du travail,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 2 et 3 heures / jour,Plusieurs fois par jour,1 ou 2 concerts/festivals,Un écran de télévision,Plusieurs fois par jour,NULL,Tous les jours ou presque,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des réseaux sociaux (Instagram / Facebook / Snapchat…)"
