0 - Sexe,1 - Tranche_age,2 - Statut,3 - Foyer,4 - Enfant,5 - Taille_ville,6 - Region,7 - Style_de_musique,8 - Moment_musique, 9 - Musique/jour, 10 - Musique fréquence, 11 - nb concert, 12 - appareil pour ecouter plus souvent de la musique,13 - musique seul,14 - Visionnage Illegal Musique,15 - musique accompagné,16 - Plateforme
FEMME,De 15 à 24 ans,Couple,3 personnes,Aucun,MoinsDe100000Habitants,PaysDeLaLoire,Classique,En travaillant ou en étudiant,Moins de 1 heure / jour,Plusieurs fois par jour,5 concerts/festivals ou plus,NULL,1 à 3 fois par mois,NULL,1 à 5 fois par semaine,Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)
FEMME,De 35 à 49 ans,Couple,4 personnes ou plus,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,AlsaceChampagneArdenneLo,Variété Française,En voiture,NULL,1 à 3 fois par mois,NULL,NULL,1 à 3 fois par mois,NULL,1 à 3 fois par mois,
HOMME,De 15 à 24 ans,Enfant,4 personnes ou plus,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,Normandie,Pop / Rock,En travaillant ou en étudiant,NULL,Moins souvent,NULL,NULL,1 à 5 fois par semaine,NULL,Jamais,
HOMME,De 35 à 49 ans,Couple,4 personnes ou plus,Aucun,MoinsDe100000Habitants,LanguedocRoussillonMidiP,"Electronique,R&B,Rap / Hip-Hop","En travaillant ou en étudiant,En voiture",NULL,1 à 5 fois par semaine,1 ou 2 concerts/festivals,Un ordinateur,1 à 5 fois par semaine,Uniquement de façon légale,Jamais,Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…)
HOMME,De 15 à 24 ans,Enfant,4 personnes ou plus,Aucun,PlusDe100000Habitants,ProvenceAlpesCoteDAzur,"Jazz,R&B,Soul,Reggae,Musiques du monde,Rap / Hip-Hop","En travaillant ou en étudiant,Sous la douche ou en vous préparant,Dans les transports ou sur le chemin des études ou du travail,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 1 et 2 heures / jour,Plusieurs fois par jour,1 ou 2 concerts/festivals,Un smartphone,Plusieurs fois par jour,Généralement de façon légale même s’il peut m’arriver de le faire de manière illégale,1 à 5 fois par semaine,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des réseaux sociaux (Instagram / Facebook / Snapchat…)"
HOMME,De 15 à 24 ans,Enfant,4 personnes ou plus,Aucun,MoinsDe100000Habitants,LanguedocRoussillonMidiP,Rap / Hip-Hop,Au réveil ou avant de vous endormir,NULL,1 à 5 fois par semaine,NULL,NULL,Tous les jours ou presque,Généralement de façon légale même s’il peut m’arriver de le faire de manière illégale,1 à 5 fois par semaine,Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…)
HOMME,De 15 à 24 ans,Enfant,3 personnes,Présence d'enfant(s) au foyer,PlusDe100000Habitants,ProvenceAlpesCoteDAzur,Rap / Hip-Hop,"Sous la douche ou en vous préparant,Dans les transports ou sur le chemin des études ou du travail,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 1 et 2 heures / jour,Plusieurs fois par jour,3 ou 4 concerts/festivals,Un smartphone,Plusieurs fois par jour,Uniquement de façon légale,1 à 5 fois par semaine,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)"
FEMME,De 35 à 49 ans,Célibataire,2 personnes,Aucun,MoinsDe100000Habitants,NordPasDeCalaisPicardie,"Variété Française,Dance,Electronique,R&B,Soul,Pop / Rock,Rap / Hip-Hop","Au réveil ou avant de vous endormir,En cuisinant ou pendant les tâches ménagères,Dans les transports ou sur le chemin des études ou du travail,En faisant du sport ou des activités récréatives,En voiture",Entre 1 et 2 heures / jour,Tous les jours ou presque,NULL,Un poste de radio / un radioréveil,Tous les jours ou presque,Uniquement de façon légale,Jamais,Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu
HOMME,De 65 à plus,Célibataire,1 personne,NULL,MoinsDe100000Habitants,AlsaceChampagneArdenneLo,"Variété Française,Pop / Rock,Classique",En travaillant ou en étudiant,NULL,Moins souvent,NULL,NULL,1 à 3 fois par mois,NULL,Jamais,"Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des réseaux sociaux (Instagram / Facebook / Snapchat…)"
HOMME,De 35 à 49 ans,Célibataire,3 personnes,Aucun,PlusDe100000Habitants,LanguedocRoussillonMidiP,"Variété Française,Metal,Musiques du monde,Pop / Rock,Classique",Dans les transports ou sur le chemin des études ou du travail,Moins de 1 heure / jour,Tous les jours ou presque,5 concerts/festivals ou plus,Une chaîne Hifi,Tous les jours ou presque,Uniquement de façon légale,1 à 3 fois par mois,Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)
HOMME,De 35 à 49 ans,Couple,4 personnes ou plus,Présence d'enfant(s) au foyer,PlusDe100000Habitants,AuvergneRhoneAlpes,"Variété Française,Dance,Musiques du monde,Pop / Rock",En travaillant ou en étudiant,Moins de 1 heure / jour,Plusieurs fois par jour,NULL,NULL,Plusieurs fois par jour,Uniquement de façon légale,1 à 5 fois par semaine,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)"
FEMME,De 15 à 24 ans,Enfant,4 personnes ou plus,Présence d'enfant(s) au foyer,PlusDe100000Habitants,IleDeFrance,"R&B,Rap / Hip-Hop",En faisant du sport ou des activités récréatives,NULL,1 à 5 fois par semaine,NULL,NULL,1 à 5 fois par semaine,NULL,Moins souvent,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)"
FEMME,De 15 à 24 ans,Célibataire,3 personnes,Présence d'enfant(s) au foyer,PlusDe100000Habitants,AuvergneRhoneAlpes,Rap / Hip-Hop,"En travaillant ou en étudiant,En cuisinant ou pendant les tâches ménagères,Sous la douche ou en vous préparant,Dans les transports ou sur le chemin des études ou du travail,En faisant du sport ou des activités récréatives,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",Moins de 1 heure / jour,Tous les jours ou presque,3 ou 4 concerts/festivals,NULL,Tous les jours ou presque,Uniquement de façon légale,1 à 3 fois par mois,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)"
HOMME,De 35 à 49 ans,Couple,3 personnes,Aucun,PlusDe100000Habitants,AquitaineLimousinPoitouC,"Jazz,Musiques du monde,Classique",En travaillant ou en étudiant,NULL,1 à 5 fois par semaine,5 concerts/festivals ou plus,NULL,Plusieurs fois par jour,Uniquement de façon légale,1 à 5 fois par semaine,Des sites de téléchargement payants de morceaux ou d’albums (vous achetez un morceau / un album à télécharger...)
HOMME,De 65 à plus,Couple,3 personnes,Aucun,PlusDe100000Habitants,IleDeFrance,"Variété Française,Pop / Rock,Classique","Sous la douche ou en vous préparant,En voiture",Entre 2 et 3 heures / jour,Plusieurs fois par jour,1 ou 2 concerts/festivals,Une tablette,Tous les jours ou presque,NULL,Tous les jours ou presque,"Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des réseaux sociaux (Instagram / Facebook / Snapchat…)"
FEMME,De 35 à 49 ans,Célibataire,3 personnes,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,Normandie,"Variété Française,R&B,Soul,Pop / Rock,Rap / Hip-Hop","Au réveil ou avant de vous endormir,En cuisinant ou pendant les tâches ménagères,Dans les transports ou sur le chemin des études ou du travail,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 2 et 3 heures / jour,Tous les jours ou presque,5 concerts/festivals ou plus,Une chaîne Hifi,Tous les jours ou presque,Uniquement de façon légale,1 à 3 fois par mois,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
FEMME,De 15 à 24 ans,Enfant,4 personnes ou plus,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,NordPasDeCalaisPicardie,"Variété Française,Metal,Musiques du monde,Rap / Hip-Hop",En voiture,NULL,1 à 5 fois par semaine,NULL,NULL,Moins souvent,Uniquement de façon légale,Plusieurs fois par jour,Des sites de téléchargement payants de morceaux ou d’albums (vous achetez un morceau / un album à télécharger...)
HOMME,De 35 à 49 ans,Célibataire,3 personnes,Présence d'enfant(s) au foyer,PlusDe100000Habitants,Bretagne,"Variété Française,Dance,R&B,Soul,Pop / Rock","Au réveil ou avant de vous endormir,En travaillant ou en étudiant,En cuisinant ou pendant les tâches ménagères,Sous la douche ou en vous préparant,Dans les transports ou sur le chemin des études ou du travail,En faisant du sport ou des activités récréatives,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 2 et 3 heures / jour,Plusieurs fois par jour,5 concerts/festivals ou plus,Une tablette,Plusieurs fois par jour,Généralement de façon légale même s’il peut m’arriver de le faire de manière illégale,Jamais,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des sites de téléchargement payants de morceaux ou d’albums (vous achetez un morceau / un album à télécharger...),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des réseaux sociaux (Instagram / Facebook / Snapchat…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
HOMME,De 15 à 24 ans,Célibataire,2 personnes,Présence d'enfant(s) au foyer,PlusDe100000Habitants,IleDeFrance,Pop / Rock,En travaillant ou en étudiant,NULL,1 à 5 fois par semaine,1 ou 2 concerts/festivals,NULL,1 à 5 fois par semaine,Uniquement de façon légale,Jamais,Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)
FEMME,De 35 à 49 ans,Couple,4 personnes ou plus,Présence d'enfant(s) au foyer,PlusDe100000Habitants,IleDeFrance,Pop / Rock,Sous la douche ou en vous préparant,NULL,Moins souvent,1 ou 2 concerts/festivals,NULL,Moins souvent,NULL,Moins souvent,Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)
FEMME,De 35 à 49 ans,Célibataire,2 personnes,Aucun,MoinsDe100000Habitants,AlsaceChampagneArdenneLo,Variété Française,En voiture,NULL,1 à 5 fois par semaine,1 ou 2 concerts/festivals,Un autoradio,Tous les jours ou presque,Uniquement de façon légale,1 à 5 fois par semaine,Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)
HOMME,De 35 à 49 ans,Couple,3 personnes,Présence d'enfant(s) au foyer,PlusDe100000Habitants,LanguedocRoussillonMidiP,"Dance,Electronique","En cuisinant ou pendant les tâches ménagères,Dans les transports ou sur le chemin des études ou du travail,En voiture",NULL,1 à 5 fois par semaine,3 ou 4 concerts/festivals,NULL,1 à 5 fois par semaine,Généralement de façon illégale même s’il peut m’arriver de le faire de manière légale,1 à 5 fois par semaine,Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…)
HOMME,De 15 à 24 ans,Enfant,3 personnes,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,Normandie,Reggae,En travaillant ou en étudiant,Entre 1 et 2 heures / jour,Plusieurs fois par jour,1 ou 2 concerts/festivals,NULL,Plusieurs fois par jour,Uniquement de façon légale,Plusieurs fois par jour,"Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
FEMME,De 35 à 49 ans,Couple,4 personnes ou plus,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,AquitaineLimousinPoitouC,Rap / Hip-Hop,"En travaillant ou en étudiant,Sous la douche ou en vous préparant,Dans les transports ou sur le chemin des études ou du travail",Entre 1 et 2 heures / jour,Plusieurs fois par jour,NULL,NULL,Tous les jours ou presque,NULL,Tous les jours ou presque,Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…)
HOMME,De 50 à 64 ans,Couple,4 personnes ou plus,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,NordPasDeCalaisPicardie,"Variété Française,Jazz,Metal,Musiques du monde,Pop / Rock,Classique","Au réveil ou avant de vous endormir,En cuisinant ou pendant les tâches ménagères,Dans les transports ou sur le chemin des études ou du travail,En faisant du sport ou des activités récréatives,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",NULL,1 à 5 fois par semaine,5 concerts/festivals ou plus,Un autoradio,Plusieurs fois par jour,NULL,1 à 5 fois par semaine,Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu
FEMME,De 15 à 24 ans,Célibataire,1 personne,NULL,PlusDe100000Habitants,AlsaceChampagneArdenneLo,"Electronique,R&B,Musiques du monde","En travaillant ou en étudiant,Sous la douche ou en vous préparant,En faisant du sport ou des activités récréatives",Moins de 1 heure / jour,Tous les jours ou presque,5 concerts/festivals ou plus,Un smartphone,Tous les jours ou presque,NULL,Plusieurs fois par jour,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)"
HOMME,De 35 à 49 ans,Couple,2 personnes,Aucun,PlusDe100000Habitants,AquitaineLimousinPoitouC,,,NULL,Jamais,NULL,NULL,NULL,NULL,NULL,
HOMME,De 50 à 64 ans,Couple,3 personnes,Aucun,PlusDe100000Habitants,AlsaceChampagneArdenneLo,"Soul,Reggae,Musiques du monde","En travaillant ou en étudiant,En faisant du sport ou des activités récréatives,En voiture",Moins de 1 heure / jour,Tous les jours ou presque,Aucun,Un ordinateur,Plusieurs fois par jour,Uniquement de façon légale,1 à 5 fois par semaine,"Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des réseaux sociaux (Instagram / Facebook / Snapchat…)"
FEMME,De 15 à 24 ans,Enfant,4 personnes ou plus,Présence d'enfant(s) au foyer,PlusDe100000Habitants,IleDeFrance,"Variété Française,R&B,Rap / Hip-Hop","En travaillant ou en étudiant,Dans les transports ou sur le chemin des études ou du travail,En faisant du sport ou des activités récréatives,En voiture",Entre 1 et 2 heures / jour,Plusieurs fois par jour,1 ou 2 concerts/festivals,NULL,Plusieurs fois par jour,Uniquement de façon légale,Tous les jours ou presque,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des réseaux sociaux (Instagram / Facebook / Snapchat…)"
HOMME,De 50 à 64 ans,Couple,3 personnes,Aucun,MoinsDe100000Habitants,ProvenceAlpesCoteDAzur,"Metal,Reggae,Pop / Rock","Au réveil ou avant de vous endormir,En cuisinant ou pendant les tâches ménagères,En voiture",NULL,1 à 5 fois par semaine,NULL,Une chaîne Hifi,1 à 5 fois par semaine,Uniquement de façon légale,1 à 3 fois par mois,Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)
HOMME,De 35 à 49 ans,Couple,3 personnes,Aucun,MoinsDe100000Habitants,LanguedocRoussillonMidiP,Variété Française,En voiture,NULL,1 à 3 fois par mois,Aucun,Une chaîne Hifi,1 à 3 fois par mois,NULL,Moins souvent,Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)
FEMME,De 50 à 64 ans,Couple,4 personnes ou plus,Aucun,MoinsDe100000Habitants,AuvergneRhoneAlpes,"Dance,Musiques du monde,Pop / Rock","En cuisinant ou pendant les tâches ménagères,Sous la douche ou en vous préparant,En voiture",Entre 1 et 2 heures / jour,Plusieurs fois par jour,1 ou 2 concerts/festivals,Un poste de radio / un radioréveil,Plusieurs fois par jour,Uniquement de façon légale,1 à 5 fois par semaine,Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…)
HOMME,De 25 à 34 ans,Célibataire,4 personnes ou plus,Présence d'enfant(s) au foyer,PlusDe100000Habitants,IleDeFrance,"Dance,Electronique,R&B,Reggae,Pop / Rock,Rap / Hip-Hop","En cuisinant ou pendant les tâches ménagères,En faisant du sport ou des activités récréatives,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 1 et 2 heures / jour,Plusieurs fois par jour,5 concerts/festivals ou plus,Un smartphone,Tous les jours ou presque,Uniquement de façon légale,Tous les jours ou presque,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)"
FEMME,De 15 à 24 ans,Enfant,4 personnes ou plus,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,Normandie,"Variété Française,R&B","Sous la douche ou en vous préparant,Dans les transports ou sur le chemin des études ou du travail",Moins de 1 heure / jour,Plusieurs fois par jour,NULL,Une tablette,Plusieurs fois par jour,Uniquement de façon légale,1 à 5 fois par semaine,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des réseaux sociaux (Instagram / Facebook / Snapchat…)"
FEMME,De 15 à 24 ans,Célibataire,4 personnes ou plus,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,BourgogneFrancheComte,"Variété Française,Dance,R&B,Soul,Reggae,Pop / Rock,Rap / Hip-Hop",,NULL,1 à 5 fois par semaine,NULL,NULL,1 à 5 fois par semaine,Uniquement de façon légale,Jamais,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des réseaux sociaux (Instagram / Facebook / Snapchat…)"
FEMME,De 35 à 49 ans,Couple,4 personnes ou plus,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,PaysDeLaLoire,Rap / Hip-Hop,"En travaillant ou en étudiant,Dans les transports ou sur le chemin des études ou du travail,En faisant du sport ou des activités récréatives",Moins de 1 heure / jour,Plusieurs fois par jour,1 ou 2 concerts/festivals,NULL,Plusieurs fois par jour,Uniquement de façon légale,1 à 5 fois par semaine,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des sites de téléchargement payants de morceaux ou d’albums (vous achetez un morceau / un album à télécharger...),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)"
FEMME,De 35 à 49 ans,Célibataire,2 personnes,Aucun,MoinsDe100000Habitants,Normandie,Variété Française,En voiture,NULL,1 à 5 fois par semaine,Aucun,Un autoradio,1 à 5 fois par semaine,NULL,1 à 5 fois par semaine,
HOMME,De 50 à 64 ans,Couple,3 personnes,Aucun,MoinsDe100000Habitants,AlsaceChampagneArdenneLo,"Variété Française,R&B,Musiques du monde,Pop / Rock,Classique","En travaillant ou en étudiant,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 1 et 2 heures / jour,Plusieurs fois par jour,Aucun,NULL,Plusieurs fois par jour,Uniquement de façon légale,1 à 5 fois par semaine,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)"
HOMME,De 65 à plus,Célibataire,1 personne,NULL,PlusDe100000Habitants,IleDeFrance,"Variété Française,Jazz,Soul,Classique","En travaillant ou en étudiant,En cuisinant ou pendant les tâches ménagères,En voiture",NULL,Moins souvent,1 ou 2 concerts/festivals,Un poste de radio / un radioréveil,Tous les jours ou presque,NULL,1 à 3 fois par mois,Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…)
HOMME,De 15 à 24 ans,Enfant,3 personnes,Aucun,MoinsDe100000Habitants,NordPasDeCalaisPicardie,"Electronique,Rap / Hip-Hop","En travaillant ou en étudiant,En faisant du sport ou des activités récréatives,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",Moins de 1 heure / jour,Tous les jours ou presque,NULL,Un poste de radio / un radioréveil,Tous les jours ou presque,Uniquement de façon légale,1 à 5 fois par semaine,"Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
HOMME,De 65 à plus,Couple,2 personnes,Aucun,MoinsDe100000Habitants,AquitaineLimousinPoitouC,"Electronique,Musiques du monde,Pop / Rock",En voiture,NULL,Moins souvent,NULL,Un autoradio,Plusieurs fois par jour,NULL,Jamais,
FEMME,De 50 à 64 ans,Couple,4 personnes ou plus,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,AlsaceChampagneArdenneLo,"Variété Française,Dance,Classique","Au réveil ou avant de vous endormir,En cuisinant ou pendant les tâches ménagères,Dans les transports ou sur le chemin des études ou du travail,En voiture",NULL,1 à 5 fois par semaine,1 ou 2 concerts/festivals,Un poste de radio / un radioréveil,Tous les jours ou presque,NULL,Jamais,
FEMME,De 15 à 24 ans,Enfant,4 personnes ou plus,Aucun,MoinsDe100000Habitants,PaysDeLaLoire,"Pop / Rock,Rap / Hip-Hop","Au réveil ou avant de vous endormir,En travaillant ou en étudiant,En cuisinant ou pendant les tâches ménagères,Sous la douche ou en vous préparant,Dans les transports ou sur le chemin des études ou du travail,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",NULL,1 à 5 fois par semaine,1 ou 2 concerts/festivals,Un smartphone,Plusieurs fois par jour,Uniquement de façon légale,1 à 3 fois par mois,Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu
FEMME,De 35 à 49 ans,Couple,3 personnes,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,Bretagne,Variété Française,"En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",NULL,1 à 5 fois par semaine,1 ou 2 concerts/festivals,Un smartphone,1 à 3 fois par mois,Généralement de façon légale même s’il peut m’arriver de le faire de manière illégale,Plusieurs fois par jour,"Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des réseaux sociaux (Instagram / Facebook / Snapchat…)"
FEMME,De 50 à 64 ans,Couple,4 personnes ou plus,Aucun,MoinsDe100000Habitants,Bretagne,Variété Française,En cuisinant ou pendant les tâches ménagères,Moins de 1 heure / jour,Tous les jours ou presque,1 ou 2 concerts/festivals,Un ordinateur,Tous les jours ou presque,NULL,Moins souvent,Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…)
FEMME,De 35 à 49 ans,Couple,3 personnes,Présence d'enfant(s) au foyer,PlusDe100000Habitants,AquitaineLimousinPoitouC,,,NULL,Jamais,NULL,NULL,NULL,NULL,NULL,
HOMME,De 65 à plus,Couple,2 personnes,Aucun,PlusDe100000Habitants,PaysDeLaLoire,"Variété Française,Jazz,Musiques du monde,Pop / Rock,Classique","En cuisinant ou pendant les tâches ménagères,En voiture",Moins de 1 heure / jour,Tous les jours ou presque,NULL,NULL,1 à 3 fois par mois,NULL,Tous les jours ou presque,
FEMME,De 65 à plus,Célibataire,1 personne,NULL,PlusDe100000Habitants,Bretagne,"Variété Française,Classique","En cuisinant ou pendant les tâches ménagères,En voiture",NULL,Moins souvent,Aucun,Un poste de radio / un radioréveil,Tous les jours ou presque,NULL,Moins souvent,
HOMME,De 65 à plus,Célibataire,1 personne,NULL,MoinsDe100000Habitants,AquitaineLimousinPoitouC,"Variété Française,Jazz,Musiques du monde,Pop / Rock","Au réveil ou avant de vous endormir,En cuisinant ou pendant les tâches ménagères,En voiture",NULL,1 à 5 fois par semaine,NULL,Un poste de radio / un radioréveil,Plusieurs fois par jour,NULL,Moins souvent,
HOMME,De 65 à plus,Célibataire,1 personne,NULL,PlusDe100000Habitants,AquitaineLimousinPoitouC,"Jazz,Musiques du monde,Classique","En travaillant ou en étudiant,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 1 et 2 heures / jour,Plusieurs fois par jour,NULL,Un ordinateur,Plusieurs fois par jour,Uniquement de façon légale,Moins souvent,"Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des réseaux sociaux (Instagram / Facebook / Snapchat…)"
HOMME,De 65 à plus,Couple,2 personnes,Aucun,MoinsDe100000Habitants,ProvenceAlpesCoteDAzur,Variété Française,En cuisinant ou pendant les tâches ménagères,Entre 3 et 4 heures / jour,Tous les jours ou presque,NULL,NULL,Moins souvent,NULL,Plusieurs fois par jour,Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu
FEMME,De 25 à 34 ans,Couple,3 personnes,Présence d'enfant(s) au foyer,PlusDe100000Habitants,IleDeFrance,"Variété Française,Dance,Electronique,R&B,Pop / Rock","En travaillant ou en étudiant,En voiture",NULL,1 à 5 fois par semaine,1 ou 2 concerts/festivals,Un autoradio,Plusieurs fois par jour,Uniquement de façon légale,Moins souvent,Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu
FEMME,De 35 à 49 ans,Couple,4 personnes ou plus,Présence d'enfant(s) au foyer,PlusDe100000Habitants,AquitaineLimousinPoitouC,"Variété Française,Reggae,Pop / Rock","Sous la douche ou en vous préparant,En voiture",Entre 1 et 2 heures / jour,Tous les jours ou presque,3 ou 4 concerts/festivals,Un autoradio,Plusieurs fois par jour,Uniquement de façon légale,Moins souvent,
HOMME,De 50 à 64 ans,Couple,4 personnes ou plus,Aucun,PlusDe100000Habitants,NordPasDeCalaisPicardie,"Variété Française,Soul,Musiques du monde,Rap / Hip-Hop",En travaillant ou en étudiant,NULL,1 à 5 fois par semaine,NULL,NULL,1 à 5 fois par semaine,Uniquement de façon légale,Jamais,Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…)
HOMME,De 65 à plus,Célibataire,1 personne,NULL,MoinsDe100000Habitants,AuvergneRhoneAlpes,,,NULL,Jamais,NULL,NULL,NULL,NULL,NULL,
FEMME,De 35 à 49 ans,Couple,4 personnes ou plus,Aucun,MoinsDe100000Habitants,BourgogneFrancheComte,Variété Française,"En cuisinant ou pendant les tâches ménagères,En faisant du sport ou des activités récréatives,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 1 et 2 heures / jour,Plusieurs fois par jour,NULL,Un smartphone,Plusieurs fois par jour,Uniquement de façon légale,1 à 3 fois par mois,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)"
HOMME,De 50 à 64 ans,Célibataire,4 personnes ou plus,Aucun,MoinsDe100000Habitants,LanguedocRoussillonMidiP,,,NULL,Jamais,NULL,NULL,NULL,NULL,NULL,
FEMME,De 50 à 64 ans,Couple,4 personnes ou plus,Aucun,MoinsDe100000Habitants,AquitaineLimousinPoitouC,"Variété Française,Dance,Pop / Rock",En voiture,Moins de 1 heure / jour,Plusieurs fois par jour,3 ou 4 concerts/festivals,NULL,Plusieurs fois par jour,NULL,Tous les jours ou presque,Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)
